지방청,표지,일시,풍향,유향,파향,기온,수온,시정,풍속,유속,파고,기압,습도,염분
부산청,부산항신항소형선부두등대,2019-03-01 03:09,,,,,,6.3,,,,,,
부산청,부산항신항다목적부두,2019-03-01 03:09,,,,,,5.9,,,,,,
부산청,송정리등표,2019-03-01 03:13,358.0,,,8.4,,,2.9,,,1017.3,74.0,
부산청,오륙도등대,2019-03-01 03:13,0.0,,,9.9,,,0.0,,,1012.9,66.0,
부산청,가덕도등대,2019-03-01 03:13,0.0,,,8.6,,,0.0,,,1007.7,66.0,
부산청,남항동방파제등대,2019-03-01 03:14,353.0,,,8.9,,,0.87,,,1017.0,69.0,
부산청,감천항유도등부표(랜비),2019-03-01 03:14,119.0,,,9.6,14.0,,1.9,,,1017.9,69.0,19.0
부산청,부산항신항중앙C호등부표,2019-03-01 03:14,252.0,,,9.0,12.0,,3.0,,,1018.2,84.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 03:14,161.0,,,8.9,14.6,,31.0,,,1018.0,67.0,18.0
부산청,부산항신항다목적부두,2019-03-01 03:18,,,,,,5.9,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 03:18,,,,,,6.3,,,,,,
부산청,송정리등표,2019-03-01 03:19,359.0,,,7.6,,,3.5,,,1017.2,72.0,
부산청,오륙도등대,2019-03-01 03:19,54.0,,,9.9,,,0.3,,,1012.9,66.0,
부산청,가덕도등대,2019-03-01 03:19,296.0,,,8.5,,,1.3,,,1007.8,70.0,
부산청,감천항유도등부표(랜비),2019-03-01 03:20,129.0,,,9.4,13.9,,1.8,,,1017.9,68.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 03:23,149.0,,,9.7,14.6,,26.0,,,1018.0,69.0,18.0
부산청,부산항신항중앙C호등부표,2019-03-01 03:23,236.0,,,8.4,12.1,,3.4,,,1018.2,84.0,19.0
부산청,남항동방파제등대,2019-03-01 03:23,355.0,,,9.7,,,1.4,,,1017.1,71.0,
부산청,감천항유도등부표(랜비),2019-03-01 03:23,112.0,,,9.2,13.9,,1.9,,,1017.9,68.0,19.0
부산청,부산항신항다목적부두,2019-03-01 03:24,,,,,,5.6,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 03:24,,,,,,7.0,,,,,,
부산청,송정리등표,2019-03-01 03:28,352.0,,,8.2,,,3.7,,,1017.3,73.0,
부산청,오륙도등대,2019-03-01 03:28,350.0,,,9.8,,,1.5,,,1013.0,66.0,
부산청,가덕도등대,2019-03-01 03:28,309.0,,,7.8,,,0.98,,,1007.8,69.0,
부산청,부산항유도등부표(랜비),2019-03-01 03:29,149.0,,,9.6,14.6,,23.0,,,1018.1,68.0,18.0
